Case Number,Date,Primary Type,Description,Location Description,Arrest,District,Latitude,Longitude,removal_reason
JH765824,2020-07-27 00:00:00,NARCOTICS,NARCOTICS - DETAIL,  GROCERY/FOOD STORE  ,N,3,41.856867517724055,-87.92404541094223,duplicate_case_number
JC542244,2020-12-01 05:39:54,ARSON,ARSON - DETAIL,ALLEY,False,25,41.74458899850401,-87.87244881587479,duplicate_case_number
JF323573,2020-07-19 00:00:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,  STREET  ,true,23,41.91724848312202,-87.56431071192026,duplicate_case_number
JC496566,2024-03-13 12:45:46,NARCOTICS,NARCOTICS - DETAIL,SIDEWALK,,4,41.79531485631848,-87.82577211841544,duplicate_case_number
JH718887,2023-04-29 00:00:00,ROBBERY,ROBBERY - DETAIL,"SCHOOL, PUBLIC, BUILDING",false,1,,,duplicate_case_number
JF893359,2023-09-14 07:55:46,WEAPONS VIOLATION,WEAPONS VIOLATION - DETAIL,APARTMENT,0,20,,,duplicate_case_number
JC947954,2020-02-21 11:39:48,BURGLARY,BURGLARY - DETAIL,BANK,,18,41.86458230417793,-87.90236622113012,duplicate_case_number
JG180458,2021-02-28 02:21:58,ROBBERY,ROBBERY - DETAIL,  APARTMENT  ,0,16,41.98026507999449,-87.72712201136957,duplicate_case_number
JE831059,2022-08-23 12:44:23,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,"SCHOOL, PUBLIC, BUILDING",True,13,,,duplicate_case_number
JE411210,2022-04-13 02:21:11,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,"SCHOOL, PUBLIC, BUILDING",True,13,,,duplicate_case_number
JD471628,2024-03-11 00:00:00,BURGLARY,BURGLARY - DETAIL,RESTAURANT,false,11,41.792407945989005,-87.8240150608911,duplicate_case_number
JE514913,2022-02-22 00:00:00,OTHER OFFENSE,OTHER OFFENSE - DETAIL,"SCHOOL, PUBLIC, BUILDING",Y,21,41.66551185992786,-87.7708901678964,duplicate_case_number
JC286814,2024-12-12 11:38:12,THEFT,THEFT - DETAIL,PARKING LOT/GARAGE,False,3,41.9812384918146,-87.61687440187245,duplicate_case_number
JE574239,2021-09-28 05:51:36,THEFT,THEFT - DETAIL,"SCHOOL, PUBLIC, BUILDING",,14,41.74941183535647,-87.82434214614649,duplicate_case_number
JF971084,2021-04-04 00:00:00,BATTERY,BATTERY - DETAIL,GROCERY/FOOD STORE,true,23,41.96104852250218,-87.60166871629244,duplicate_case_number
JE454820,2021-08-14 10:40:01,THEFT,THEFT - DETAIL,  APARTMENT  ,,20,41.64645997405846,-87.53621177266237,duplicate_case_number
JH792561,2023-09-16 00:00:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,SIDEWALK,false,11,41.68152494043465,-87.78466865711306,duplicate_case_number
JE574239,2024-05-19 13:18:09,CRIMINAL TRESPASS,CRIMINAL TRESPASS - DETAIL,CTA PLATFORM,False,2,41.87722539262175,-87.89458465180041,duplicate_case_number
JE947055,2023-12-03 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,RESIDENCE,false,9,41.79061117530996,-87.7970671600864,duplicate_case_number
JH629663,2020-08-23 00:00:00,THEFT,THEFT - DETAIL,CTA PLATFORM,false,4,,,duplicate_case_number
JC897423,2020-09-21 16:00:23,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,STREET,,23,41.77721922398018,-87.82885547348732,duplicate_case_number
JE546157,2022-05-31 14:48:59,WEAPONS VIOLATION,WEAPONS VIOLATION - DETAIL,  STREET  ,0,25,41.80024393740522,-87.8247101436165,duplicate_case_number
JC494187,2020-06-17 00:00:00,NARCOTICS,NARCOTICS - DETAIL,PARKING LOT/GARAGE,N,16,,,duplicate_case_number
JE308795,2020-03-20 00:00:00,ASSAULT,ASSAULT - DETAIL,SIDEWALK,false,,41.88692454858544,-87.8836529128178,duplicate_case_number
JH836038,2021-11-07 01:24:58,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,BANK,,6,41.83292089833455,-87.63452890087811,duplicate_case_number
JG695789,2024-01-05 05:22:30,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,GAS STATION,True,18,41.9433650425873,-87.71211162265752,duplicate_case_number
JG437548,2021-01-28 04:11:46,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,  PARKING LOT/GARAGE  ,0,10,41.85816185695688,-87.67160293162061,duplicate_case_number
JC993415,2021-01-17 13:44:06,THEFT,THEFT - DETAIL,APARTMENT,False,11,41.65528421541615,-87.85472743745451,duplicate_case_number
JE648588,2023-05-09 00:00:00,THEFT,THEFT - DETAIL,  STREET  ,false,5,41.75451090287962,-87.65086494025218,duplicate_case_number
JH289448,2023-06-24 11:06:31,OTHER OFFENSE,OTHER OFFENSE - DETAIL,BANK,False,23,41.71054083533818,-87.93096311347361,duplicate_case_number
JH554461,2023-11-20 21:03:21,BATTERY,BATTERY - DETAIL,  CTA PLATFORM  ,False,12,41.98258117880099,-87.63530435724647,duplicate_case_number
JG775933,2020-09-15 00:00:00,BATTERY,BATTERY - DETAIL,  ALLEY  ,N,14,41.860891009933134,-87.66580890514317,duplicate_case_number
JC124969,2021-10-25 00:00:00,THEFT,THEFT - DETAIL,ALLEY,false,13,41.715810619652665,-87.78868241998823,duplicate_case_number
JD159830,2020-09-13 00:21:35,BATTERY,BATTERY - DETAIL,ALLEY,,19,,,duplicate_case_number
JH189365,2023-05-17 07:56:07,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,ALLEY,False,22,41.83858081985666,-87.56087797355165,duplicate_case_number
JE568127,2022-01-13 00:00:00,BATTERY,BATTERY - DETAIL,PARKING LOT/GARAGE,N,17,41.73561107125903,-87.68893794344751,duplicate_case_number
JH802374,2021-06-23 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,"  SCHOOL, PUBLIC, BUILDING  ",N,8,,,duplicate_case_number
JF280426,2024-02-13 06:14:17,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,  BANK  ,,11,41.7825231389768,-87.60828854729613,duplicate_case_number
JF894357,2022-05-28 17:46:28,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,BANK,False,7,41.839262459205095,-87.93015870839683,duplicate_case_number
JE970645,2021-04-04 22:51:02,BURGLARY,BURGLARY - DETAIL,PARKING LOT/GARAGE,False,13,41.944515067701474,-87.83475355228849,duplicate_case_number
JG889084,2021-09-19 23:40:13,BURGLARY,BURGLARY - DETAIL,RESIDENCE,0,16,41.839453377574046,-87.8032969666759,duplicate_case_number
JD657742,2021-05-05 00:00:00,OTHER OFFENSE,OTHER OFFENSE - DETAIL,CTA PLATFORM,false,3,41.96146267346109,-87.6924225166909,duplicate_case_number
JG669868,2023-04-20 00:00:00,ASSAULT,ASSAULT - DETAIL,GAS STATION,true,10A,41.9238421049043,-87.6978335903751,duplicate_case_number
JE336170,2024-07-14 03:54:56,BATTERY,BATTERY - DETAIL,  GAS STATION  ,,23A,41.997035310777285,-87.52626303753063,duplicate_case_number
JE202170,2022-11-19 11:20:31,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,PARK,,17,41.78853784912464,-87.76825576008741,duplicate_case_number
JH144339,2024-07-27 09:54:06,OTHER OFFENSE,OTHER OFFENSE - DETAIL,GAS STATION,False,6,41.91811816490991,-87.75473143238517,duplicate_case_number
JF953869,2024-07-11 07:00:14,ROBBERY,ROBBERY - DETAIL,  RESIDENCE  ,,12,41.72595949443787,-87.58921560902732,duplicate_case_number
JH279956,2022-10-18 00:15:46,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,PARK,False,12,41.90196046866814,-87.71001510097554,duplicate_case_number
JF572034,2021-01-09 00:00:00,THEFT,THEFT - DETAIL,GAS STATION,N,2,41.822361189234286,-87.91213729673215,duplicate_case_number
JC375617,2024-03-10 05:40:36,ASSAULT,ASSAULT - DETAIL,  GAS STATION  ,,18,41.94291748685204,-87.76571756026755,duplicate_case_number
JD613261,2023-10-12 18:07:11,OTHER OFFENSE,OTHER OFFENSE - DETAIL,CTA PLATFORM,0,2,41.9010515522744,-87.74244531944528,duplicate_case_number
JF982027,2024-10-09 00:00:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,STREET,false,15,41.77868965621031,-87.88548512189246,duplicate_case_number
JF694691,2020-10-30 10:47:37,THEFT,THEFT - DETAIL,RESTAURANT,0,16,,,duplicate_case_number
JC762404,2021-09-22 00:00:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,GAS STATION,N,21,41.76206770015188,-87.80383041034199,duplicate_case_number
JC612696,2021-09-29 04:36:25,CRIMINAL TRESPASS,CRIMINAL TRESPASS - DETAIL,PARKING LOT/GARAGE,0,15,41.780755264764096,-87.85594281996785,duplicate_case_number
JF648489,2023-01-04 16:34:47,NARCOTICS,NARCOTICS - DETAIL,RESIDENCE,,10,41.728452143996925,-87.88664295166082,duplicate_case_number
JD888693,2022-12-20 00:00:00,THEFT,THEFT - DETAIL,"SCHOOL, PUBLIC, BUILDING",true,6,41.75889337008428,-87.80205992725077,duplicate_case_number
JD512423,2023-06-23 00:19:52,NARCOTICS,NARCOTICS - DETAIL,RESIDENCE,False,15,41.66089426703272,-87.63766182909175,duplicate_case_number
JE285469,2021-03-14 00:00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,GROCERY/FOOD STORE,N,1,41.93923185510896,-87.72110961248775,duplicate_case_number
JH156085,2021-10-11 05:54:23,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,"SCHOOL, PUBLIC, BUILDING",True,2,41.7685043871692,-87.92074336817083,duplicate_case_number
JG352626,2023-11-07 00:00:00,BURGLARY,BURGLARY - DETAIL,ALLEY,N,25,41.90095858052404,-87.84276892052702,duplicate_case_number
JG255570,2021-08-16 00:00:00,WEAPONS VIOLATION,WEAPONS VIOLATION - DETAIL,RESTAURANT,N,8,,,duplicate_case_number
JE898021,2022-01-13 00:00:00,THEFT,THEFT - DETAIL,CTA PLATFORM,N,18,,,duplicate_case_number
JH903199,2022-11-15 03:05:57,THEFT,THEFT - DETAIL,  PARK  ,,10,41.86617501988768,-87.57308714919448,duplicate_case_number
JD836831,2023-02-18 00:00:00,HOMICIDE,HOMICIDE - DETAIL,PARKING LOT/GARAGE,N,23,41.81814079979147,-87.852777989608,duplicate_case_number
JC982273,2020-01-13 13:51:46,THEFT,THEFT - DETAIL,"SCHOOL, PUBLIC, BUILDING",False,12,41.84968122919491,-87.78806186429155,duplicate_case_number
JC575976,2020-01-21 02:59:06,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,  APARTMENT  ,,20,42.00251762510438,-87.74558575436845,duplicate_case_number
JC418389,2021-05-18 00:49:23,BATTERY,BATTERY - DETAIL,ALLEY,False,3,41.74979866668168,-87.58352690173368,duplicate_case_number
JE627573,2023-08-23 13:35:26,THEFT,THEFT - DETAIL,  APARTMENT  ,False,23,41.77027285888911,-87.66232747383869,duplicate_case_number
JF890806,2023-08-04 16:44:26,THEFT,THEFT - DETAIL,  SIDEWALK  ,0,12,41.80868016904009,-87.53349434265085,duplicate_case_number
JE355537,2022-07-12 09:02:51,CRIMINAL TRESPASS,CRIMINAL TRESPASS - DETAIL,RESTAURANT,False,22,,,duplicate_case_number
JF224272,2023-07-28 00:00:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,APARTMENT,false,9,41.69154741172516,-87.89025684834336,duplicate_case_number
JF240486,2022-04-02 23:16:09,BURGLARY,BURGLARY - DETAIL,GAS STATION,0,11,41.84577982361656,-87.63367825076485,duplicate_case_number
JC630415,2024-05-26 00:00:00,THEFT,THEFT - DETAIL,  RESIDENCE  ,false,,,,duplicate_case_number
JG985249,2023-12-06 02:07:21,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,SIDEWALK,False,21,,,duplicate_case_number
JD761836,2024-03-17 00:00:00,BURGLARY,BURGLARY - DETAIL,APARTMENT,N,20,41.77271911702893,-87.75073307193406,duplicate_case_number
JC321476,2022-08-19 10:45:21,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,GROCERY/FOOD STORE,False,7,41.75502288879294,-87.67942624158636,duplicate_case_number
JE637389,2022-04-07 22:59:43,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,GAS STATION,False,2,41.93096988212818,-87.91385956197368,duplicate_case_number
JF259038,2020-08-06 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,PARK,N,12,41.890432067798,-87.70404618842947,duplicate_case_number
JC295692,2023-11-22 13:37:11,THEFT,THEFT - DETAIL,GROCERY/FOOD STORE,,24,41.96243059306088,-87.72485037302792,duplicate_case_number
JF757667,2024-11-13 00:00:00,NARCOTICS,NARCOTICS - DETAIL,  CTA PLATFORM  ,false,15,,,duplicate_case_number
JF204574,2023-11-27 18:54:10,BURGLARY,BURGLARY - DETAIL,SIDEWALK,False,22,42.00473624170972,-87.92447205535976,duplicate_case_number
JC836090,2024-02-08 13:17:41,BATTERY,BATTERY - DETAIL,APARTMENT,,19,41.68313998770478,-87.86493677098281,duplicate_case_number
JE593941,2023-09-29 00:00:00,THEFT,THEFT - DETAIL,GROCERY/FOOD STORE,false,9,41.77296901409078,-87.62888614808661,duplicate_case_number
JE159782,2024-10-13 18:21:41,ASSAULT,ASSAULT - DETAIL,"SCHOOL, PUBLIC, BUILDING",,6,41.98507490385544,-87.53035080895039,duplicate_case_number
JD791962,2023-07-06 04:02:05,ROBBERY,ROBBERY - DETAIL,STREET,False,2,42.02022339484965,-87.5869394596018,duplicate_case_number
JD250141,2023-11-29 23:02:27,ASSAULT,ASSAULT - DETAIL,"  SCHOOL, PUBLIC, BUILDING  ",False,21,42.01152275128938,-87.58941609146072,duplicate_case_number
JD672079,2021-01-01 00:00:00,BATTERY,BATTERY - DETAIL,RESIDENCE,true,18,41.71486926441761,-87.79796727324967,duplicate_case_number
JD807900,2022-01-03 17:18:01,WEAPONS VIOLATION,WEAPONS VIOLATION - DETAIL,APARTMENT,False,6,41.83847972789406,-87.93976498113005,duplicate_case_number
JF757667,2021-03-05 12:12:02,THEFT,THEFT - DETAIL,GAS STATION,0,11,41.64708021729982,-87.79847176198993,duplicate_case_number
JG769650,2021-03-27 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,"SCHOOL, PUBLIC, BUILDING",Y,9,41.99222534870576,-87.72074430606942,duplicate_case_number
JF940181,2020-05-10 18:08:11,BATTERY,BATTERY - DETAIL,RESIDENCE,False,22,,,duplicate_case_number
JH638289,2023-07-02 06:13:47,ROBBERY,ROBBERY - DETAIL,RESIDENCE,0,,41.70835626359089,-87.7627272130114,duplicate_case_number
JC232559,2020-10-08 12:22:24,THEFT,THEFT - DETAIL,RESTAURANT,True,13,41.923768295934856,-87.67072837518536,duplicate_case_number
JG193774,2024-12-18 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,GROCERY/FOOD STORE,N,23,41.94042910047492,-87.74026982813945,duplicate_case_number
JH931450,2021-03-28 00:00:00,THEFT,THEFT - DETAIL,STREET,false,12,,,duplicate_case_number
JD459602,2022-10-21 00:00:00,BURGLARY,BURGLARY - DETAIL,RESIDENCE,false,,41.69225218875854,-87.550102313069,duplicate_case_number
JF319137,2020-11-17 20:42:21,ROBBERY,ROBBERY - DETAIL,STREET,True,19,,,duplicate_case_number
JG154067,2022-12-05 02:57:24,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,PARKING LOT/GARAGE,0,24,42.02207527435701,-87.7822575994106,duplicate_case_number
JE857537,2022-03-09 22:54:55,ASSAULT,ASSAULT - DETAIL,"SCHOOL, PUBLIC, BUILDING",True,22,41.86405595281724,-87.54211648606253,duplicate_case_number
JG428961,2024-08-03 10:42:07,NARCOTICS,NARCOTICS - DETAIL,PARK,False,18,41.75705545234028,-87.80040865723245,duplicate_case_number
JF294655,2023-06-10 00:00:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,"SCHOOL, PUBLIC, BUILDING",N,24,41.84490663880712,-87.62827301385319,duplicate_case_number
JC663772,2022-09-22 21:57:17,BATTERY,BATTERY - DETAIL,APARTMENT,True,17,41.90151366076164,-87.78591760713998,duplicate_case_number
JG183473,2024-05-30 21:12:33,THEFT,THEFT - DETAIL,  CTA PLATFORM  ,,7,41.91449989839882,-87.86682747116103,duplicate_case_number
JE501777,2023-01-09 21:39:06,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,RESTAURANT,,99,,,duplicate_case_number
JE956223,2021-03-21 00:00:00,BATTERY,BATTERY - DETAIL,"SCHOOL, PUBLIC, BUILDING",true,24,41.74366724640493,-87.56195668122454,duplicate_case_number
JG296243,2022-08-14 00:19:02,ASSAULT,ASSAULT - DETAIL,ALLEY,False,18,,,duplicate_case_number
JC592811,2024-01-03 08:49:28,NARCOTICS,NARCOTICS - DETAIL,"  SCHOOL, PUBLIC, BUILDING  ",0,22,42.00219919907611,-87.8236760992383,duplicate_case_number
JD716772,2024-09-22 16:36:21,BURGLARY,BURGLARY - DETAIL,PARK,1,25,,,duplicate_case_number
JF964278,2020-04-27 15:57:27,THEFT,THEFT - DETAIL,RESTAURANT,False,15,41.87892482511152,-87.93401367130089,duplicate_case_number
JH511970,2020-09-17 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,ALLEY,false,22,,,duplicate_case_number
JG336814,2023-12-25 15:46:43,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,ALLEY,,8,41.83385087286876,-87.92186524197051,duplicate_case_number
JH605020,2022-08-09 02:51:08,ROBBERY,ROBBERY - DETAIL,  GROCERY/FOOD STORE  ,,17,,,duplicate_case_number
JF148439,2021-01-31 10:57:56,ROBBERY,ROBBERY - DETAIL,GAS STATION,,6,41.961896141961134,-87.88420827268777,duplicate_case_number
JH272830,2021-10-09 00:00:00,ASSAULT,ASSAULT - DETAIL,RESTAURANT,false,13,41.86382960010378,-87.7080113118967,duplicate_case_number
JG483551,2020-01-14 00:00:00,WEAPONS VIOLATION,WEAPONS VIOLATION - DETAIL,APARTMENT,N,13,41.65938075236199,-87.87705328811957,duplicate_case_number
JF620526,2024-11-26 01:39:26,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,RESTAURANT,False,8,41.93520518048759,-87.73357611207719,duplicate_case_number
